Model,Vintage,Area,Material,Series_Cells,Parallel_C-S,Isco,Voco,Impo,Vmpo,aIsc,aImp,C0,C1,BVoco,mBVoc,BVmpo,mBVmp,n,C2,C3,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,B5,d(Tc),fd,a,b,C4,C5,Ixo,Ixxo,C6,C7,Picture,Description
"12-PW1000(95W)-Array","2001",10.780000,"mc-Si",72,12,34.720000,43.320000,30.860000,32.690000,0.000450,-0.000150,0.945000,0.055000,-0.171000,0.000000,-0.172000,0.000000,1.490000,-0.772840,-19.081600,0.924000,0.069710,-0.014550,0.001221,-0.000036,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.480000,-0.085000,0.970000,0.030000,33.800000,21.800000,1.109000,-0.109000,,"Array composed of twelve Photowatt PW-1000 (95W/24V) mc-Si modules.  Modules use 24-V option and are wired in parallel.   Photo shows application in ""SP1200""  stand-alone hybrid system integrated  by Sacred Power Corporation, Albuquerque, NM"
"8-BP275-Array","2000",5.040000,"c-Si",72,4,18.300000,43.150000,16.610000,33.950000,0.000330,-0.000320,0.979000,0.021000,-0.170000,0.000000,-0.180000,0.000000,1.234000,-0.346920,-12.004400,0.940800,0.054204,-0.011043,0.000809,-0.000021,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.480000,-0.085000,0.978000,0.022000,18.100000,11.800000,1.147000,-0.147000,,"Array composed of eight BP Solar BP-275 c-Si modules.  Two modules in series in each module string with four module strings in parallel.  Photo shows application in ""Firefly 600""  stand-alone system integrated  by Energia Total, Ltd."
"8-KC80-Array","1999",5.140000,"mc-Si",72,4,18.000000,42.590000,16.540000,33.640000,0.000850,0.000150,0.979000,0.021000,-0.169200,0.000000,-0.169400,0.000000,1.469000,0.111920,-7.049400,0.924000,0.067490,-0.012549,0.001005,-0.000029,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.483000,-0.085030,0.986000,0.014000,17.690000,11.740000,1.096000,-0.096000,,"Array composed of eight Kyocera KC-80 mc-Si modules.  Two modules in series in each module string with four module strings in parallel.  Photo shows application in NTUA stand-alone system designed and integrated  by Kyocera Solar."
"ASE-100-ATF/17 (100)","1999 (E)",0.828000,"EFG mc-Si",36,2,6.400000,21.100000,5.800000,17.200000,0.000780,0.000100,0.997000,0.003000,-0.076000,0.000000,-0.079000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,6.320000,4.120000,1.131000,-0.131000,,"Module area = 0.828 m^2, (33.8"" x 38.0""). Weight = 12 kg (26 lb). Module with 2 parallel strings of 36 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front.  Aluminum foil followed by Tedlar sheet on  back side.  Module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box."
"ASE-100-ATF/17 (85)","1999 (E)",0.828000,"EFG mc-Si",36,2,5.600000,20.700000,5.100000,16.800000,0.000780,0.000100,0.997000,0.003000,-0.076000,0.000000,-0.079000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,5.530000,3.650000,1.131000,-0.131000,,"Module area = 0.828 m^2, (33.8"" x 38.0""). Weight = 12 kg (26 lb). Module with 2 parallel strings of 36 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front.  Aluminum foil followed by Tedlar sheet on  back side.  Module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box."
"ASE-100-ATF/17 (92)","1999 (E)",0.828000,"EFG mc-Si",36,2,6.000000,20.800000,5.400000,17.000000,0.000780,0.000100,0.997000,0.003000,-0.076000,0.000000,-0.079000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,5.930000,3.860000,1.131000,-0.131000,,"Module area = 0.828 m^2, (33.8"" x 38.0""). Weight = 12 kg (26 lb). Module with 2 parallel strings of 36 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front.  Aluminum foil followed by Tedlar sheet on  back side.  Module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box"
"ASE-100-ATF/34 (100)","1999 (E)",0.828000,"EFG mc-Si",72,1,3.200000,42.200000,2.900000,34.400000,0.000780,0.000100,0.997000,0.003000,-0.152000,0.000000,-0.158000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,3.160000,2.060000,1.131000,-0.131000,,"Module area = 0.828 m^2, (33.8"" x 38.0""). Weight = 12 kg (26 lb). Module with 72 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front.  Aluminum foil followed by Tedlar sheet on  back side.  Module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box."
"ASE-100-ATF/34 (85)","1999 (E)",0.828000,"EFG mc-Si",36,2,2.800000,41.400000,2.500000,33.600000,0.000780,0.000100,0.997000,0.003000,-0.152000,0.000000,-0.158000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,2.760000,1.780000,1.131000,-0.131000,,"Module area = 0.828 m^2, (33.8"" x 38.0""). Weight = 12 kg (26 lb). Module with 72 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front.  Aluminum foil followed by Tedlar sheet on  back side.  Module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box."
"ASE-100-ATF/34 (92)","1999 (E)",0.828000,"EFG mc-Si",72,1,3.000000,41.600000,2.700000,34.000000,0.000780,0.000100,0.997000,0.003000,-0.152000,0.000000,-0.158000,0.000000,1.290000,0.208062,-8.608480,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,3.000000,1.000000,-3.470000,-0.059400,0.983000,0.017000,2.960000,1.920000,1.131000,-0.131000,,"Module area = 0.828 m^2, (33.8"" x 38.0""). Weight = 12 kg (26 lb). Module with 72 (100 cm^2) EFG multicrystalline silicon cells connected in series. Aluminum frame, low-iron cerium-containing tempered glass sheet on front.  Aluminum foil followed by Tedlar sheet on  back side.  Module laminated with proprietary non-browning encapsulant.  Junction box with conduit provisions. Lead (Pb) free solder for cell interconnects.  Optional manufacturer installed bypass diodes incorporated in junction box."
"ASE-300-DGF/17 (265)","1999 (E)",2.427000,"EFG mc-Si",36,6,17.300000,20.700000,15.800000,16.800000,0.000920,0.000360,0.994000,0.006000,-0.075600,0.000000,-0.079300,0.000000,1.288000,0.006258,-7.690080,0.936000,0.053645,-0.007940,0.000522,-0.000013,1.000000,-0.002438,0.000310,-0.000012,0.000000,-0.000000,2.000000,1.000000,-3.470000,-0.059400,0.984300,0.015700,17.100000,11.300000,1.127000,-0.127000,,"Large area = 2.427 m^2, (50.5"" x 74.5""). Weight = 48 kg (107 lb). Module with 216 (100 cm^2) EFG multicrystalline silicon cells, 36 in series string, 6 parallel strings. Aluminum frame, low-iron cerium-containing tempered glass sheets front and back, module laminated with proprietary non-browning encapsulant. Completely sealed and potted junction box with quick-connect pigtails. Lead (Pb) free solder.  Six bypass diodes incorporated in junction box"
